Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.13079912637670835,0.10533498972654343,0.12641979679465293
2,0.09780448526144028,0.08508015424013138,0.09838164895772934
3,0.09264626776178678,0.0785762220621109,0.09245430417358876
4,0.08919029956062635,0.07694781571626663,0.08813096632560094
5,0.08582587266961733,0.07601229846477509,0.08486991922060648
6,0.08311258206764857,0.07475288957357407,0.0830397183696429
7,0.08175272357960542,0.07425031810998917,0.07952203961710134
8,0.08062863474090894,0.07330264151096344,0.07949697263538838
9,0.07911224290728569,0.0724010169506073,0.07989183701574802
10,0.0765238281339407,0.07295972108840942,0.07743582725524903
11,0.0764578806857268,0.07328920811414719,0.07613999123374621
12,0.07486651899913947,0.0746534988284111,0.07418847245474657
13,0.0738111694653829,0.07446365803480148,0.07361404038965702
14,0.07421574605007966,0.0732724517583847,0.07234885357320309
15,0.07443279040356478,0.07392267137765884,0.07215599964062373
16,0.07129873658219973,0.07397584617137909,0.06938618918259938
17,0.06951361832519372,0.07376431673765182,0.07160068054993947
18,0.06897951178252697,0.07472673803567886,0.06998559050261974
19,0.06854358837008476,0.07413708418607712,0.06947191543877125
20,0.0685074869543314,0.07487323880195618,0.06834457479417325
21,0.06809311558802923,0.0751098096370697,0.06807430523137252
22,0.06813701304296653,0.07387454062700272,0.06726875330011049
23,0.06733078708251318,0.07517301291227341,0.06570900144676367
24,0.06578284613788128,0.07458463311195374,0.06623799738784632
