Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,62,1.0375000000000805,0.016733870967743234,-0.019103593534371677,0.6451612903225806,-0.5216253536695381,-0.6379762629287701
Fixed Delta Condor,62,-2.0399999999998695,-0.032903225806449506,-0.009133602644763981,0.7419354838709677,-0.3994653586889054,-0.4537812275294592
Sigma Condor,62,-2.9524999999998465,-0.04762096774193301,-0.038015429263674655,0.6451612903225806,-1.1670388038347643,-1.34607972745858
