Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.1175092210372289,0.09395803511142731,0.11423864960670471
2,0.09859605655074119,0.08840525150299072,0.09777288362383843
3,0.0933877448240916,0.08586026728153229,0.092408204327027
4,0.08935292089978854,0.08417550474405289,0.08890777168174585
5,0.08773467987775803,0.08378314226865768,0.08670926739772161
6,0.08579555427034696,0.08312316983938217,0.0864057516058286
7,0.08358916342258453,0.08386031538248062,0.08440750328203042
8,0.08320747142036757,0.08369369804859161,0.083788184573253
9,0.08137887418270111,0.0835450291633606,0.0832211082180341
10,0.08183504541714987,0.08347225189208984,0.08049794062972068
11,0.08083993134399255,0.0854325070977211,0.08167817828555902
12,0.07940327227115632,0.08415621519088745,0.07918699408570926
13,0.07829533033072948,0.08446329832077026,0.0787679135799408
14,0.07653017627696196,0.08497298508882523,0.07636510940889517
15,0.07591832317411899,0.08530378341674805,0.07623730810980002
16,0.07519052748878798,0.08482137322425842,0.07720724182824294
17,0.0745955016463995,0.08603253960609436,0.07502822565535704
18,0.07442787252366542,0.0870213583111763,0.07412509669860204
19,0.0729303602129221,0.08825823664665222,0.07538098295529684
20,0.07383548393845558,0.08842790871858597,0.07509207911789417
21,0.07239586388071378,0.09015579521656036,0.07244742761055628
