Strategy,TotalPnL,AvgPnL,WinRate,Sharpe,Sortino,Count
ML Condor,17.712881342125673,0.07803031428249195,0.6387665198237885,0.48953703420959394,0.6297405993236669,227
Fixed Delta Condor,-3.0522999999998603,-0.013446255506607314,0.7797356828193832,-0.1004539710261714,-0.10685016259339951,227
Sigma Condor,14.828000000000465,0.06532158590308575,0.6784140969162996,0.4900763250485424,0.5890416391183181,227
