Epoch,TrainLoss,ValLoss,TrainDeltaLoss,TrainSizeLoss
1,1.0375066200892131,1.203926920890808,0.08991697678963344,0.9994800090789795
2,0.7887881100177765,0.6537103652954102,0.09433324014147122,0.624861478805542
3,0.566576619942983,0.43023619055747986,0.08986593658725421,0.48415301243464154
4,0.47603940963745117,0.37700894474983215,0.0869262305398782,0.35506393760442734
5,0.43086932599544525,0.36904847621917725,0.08961737155914307,0.34488561501105625
6,0.41548607250054675,0.36796557903289795,0.09175023933251698,0.3384124885002772
7,0.3959613690773646,0.3697603642940521,0.09660804147521655,0.3121660227576892
8,0.42262421051661175,0.371196448802948,0.08535791064302127,0.29578516632318497
9,0.39494289954503375,0.3742367625236511,0.08559734125932057,0.303006445368131
10,0.38739103575547534,0.37688809633255005,0.07849760850270589,0.3547591169675191
11,0.3959959199031194,0.37876424193382263,0.07977996890743573,0.34626218924919766
12,0.38847358028093976,0.38121625781059265,0.07887079939246178,0.29894497245550156
13,0.3478594521681468,0.3843461871147156,0.08101856708526611,0.2854318842291832
14,0.35924718777338666,0.3849188983440399,0.08128214751680692,0.2762029046813647
15,0.3418896794319153,0.3865106403827667,0.08349984015027682,0.265565666059653
16,0.36114541937907535,0.38874953985214233,0.07980183511972427,0.2911033593118191
17,0.3345821599165599,0.38988420367240906,0.07787715271115303,0.2490811770160993
18,0.33383695284525555,0.3905669152736664,0.07765957340598106,0.27121903250614804
19,0.37091435492038727,0.39126768708229065,0.0802416776617368,0.23998849590619406
20,0.3578016012907028,0.3920000195503235,0.08248285825053851,0.2229016007234653
21,0.3256681561470032,0.39419442415237427,0.0796368308365345,0.26559270918369293
