Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,62,-14.518299999999975,-0.23416612903225767,-0.18066587206160264,0.5806451612903226,-2.3320540321356273,-2.420323614088445
Fixed Delta Condor,62,-5.546199999999964,-0.08945483870967684,-0.01616017460454925,0.7096774193548387,-0.6474240323829962,-0.7224465043650498
Sigma Condor,62,-10.11969999999989,-0.1632209677419337,-0.11084225810340463,0.6129032258064516,-2.066849768430379,-2.161682211372725
