Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,58,13.447500000000014,0.23185344827586232,0.051982565730388994,0.7241379310344828,2.385687430959589,2.9705857912245865
Fixed Delta Condor,51,7.557500000000021,0.14818627450980434,0.04740222455931008,0.803921568627451,2.637809397917141,3.1128434684559094
Sigma Condor,59,12.96000000000003,0.21966101694915305,0.06485626601145004,0.6779661016949152,2.682617610222556,3.468390508143841
