Epoch,TrainLoss,ValLoss,TrainDeltaLoss,TrainSizeLoss
1,0.5281960189342498,0.6097620725631714,0.07206120043992996,0.4974442541599274
2,0.5375635266304016,0.5237826704978943,0.07444604113698006,0.47457306981086733
3,0.5035087049007416,0.4656566083431244,0.07560809031128883,0.3691857993602753
4,0.43529040813446046,0.4427798092365265,0.0743869923055172,0.39419057965278625
5,0.4490863025188446,0.4282436668872833,0.07536673024296761,0.3686875969171524
6,0.41508565545082093,0.4256218671798706,0.08229368478059769,0.38359748721122744
7,0.3830375075340271,0.43113163113594055,0.07412028908729554,0.326074606180191
8,0.4117486596107483,0.44144880771636963,0.0778609037399292,0.3115702420473099
9,0.3676927924156189,0.44404029846191406,0.0723894402384758,0.2931761801242828
10,0.4520296573638916,0.44459477066993713,0.07880146875977516,0.28937512040138247
11,0.3332206070423126,0.44528549909591675,0.07845544219017028,0.23870541155338287
12,0.4630873680114746,0.44251787662506104,0.07796450257301331,0.320279261469841
13,0.34608126878738404,0.4417199492454529,0.06703876107931137,0.2901058912277222
14,0.35436016917228697,0.44408637285232544,0.08397907465696335,0.32786273062229154
15,0.36271912455558775,0.44683191180229187,0.07363192439079284,0.28999937474727633
16,0.3633700907230377,0.4422040581703186,0.07563001960515976,0.2788137823343277
17,0.3825263977050781,0.4415801167488098,0.06957868263125419,0.32518382668495177
18,0.31825968623161316,0.4464687705039978,0.07463286072015762,0.23684405386447907
19,0.3328680157661438,0.44610172510147095,0.07617116644978524,0.27157444059848784
20,0.31537444293498995,0.44312578439712524,0.06872233971953393,0.2827205866575241
21,0.34487572908401487,0.4375748932361603,0.06928297802805901,0.22857576757669448
