Epoch,TrainLoss,ValLoss,TrainDeltaLoss,TrainSizeLoss
1,0.4030142929404974,0.3184841573238373,0.10018130484968424,0.30393905751407146
2,0.36183496471494436,0.3159915804862976,0.09507910651154816,0.2639833609573543
3,0.3592928542057052,0.3140166997909546,0.0886448661040049,0.2550490651628934
4,0.3500972930341959,0.31718432903289795,0.08707920684537385,0.25654011935694143
5,0.341780046466738,0.31213077902793884,0.08924222202040255,0.24002043600194156
6,0.3392212833277881,0.3017774224281311,0.08644651004578918,0.24067242187447846
7,0.33071185229346156,0.2995835840702057,0.08551663113757968,0.23848717147484422
8,0.31805461551994085,0.3079448938369751,0.0839583216002211,0.22980610467493534
9,0.3213551309891045,0.29360055923461914,0.08394768030848354,0.2469952288083732
10,0.32100895792245865,0.3011736273765564,0.08499661192763597,0.2220465641003102
11,0.312994921579957,0.2971639633178711,0.08165283582638949,0.24495107936672866
12,0.31084879813715816,0.3089471757411957,0.08397101610898972,0.225547113455832
13,0.2973526008427143,0.30646994709968567,0.08278423745650798,0.22207083157263696
14,0.3047795984894037,0.2983374297618866,0.08369400876108557,0.22954146680422127
15,0.29284313693642616,0.2976227104663849,0.08285342191811651,0.21011621749494225
16,0.29255046881735325,0.29057788848876953,0.08265297918114811,0.2103299176087603
17,0.2897586841136217,0.28747332096099854,0.07999602565541863,0.20251048158388585
18,0.2896775626577437,0.2908095121383667,0.08249634585808963,0.20400886586867273
19,0.28608416160568595,0.2990974187850952,0.08124571025837213,0.20419299911009148
20,0.2811602560104802,0.2925965189933777,0.07982882368378341,0.20619622361846268
21,0.3114184099249542,0.2945886254310608,0.08064518868923187,0.23117036116309464
22,0.29120089020580053,0.29123279452323914,0.08052898442838341,0.21563974884338677
23,0.2863453340250999,0.2862561345100403,0.0792856509797275,0.19496236968552694
24,0.2830125498585403,0.28512871265411377,0.08021274919155985,0.20076447573956102
25,0.281289073638618,0.2831416428089142,0.08139022113755345,0.19651479925960302
26,0.2861823411658406,0.2861229181289673,0.07953740691300482,0.1960421574767679
27,0.27553835324943066,0.2828086018562317,0.07932490180246532,0.18940488662337884
28,0.27284791273996234,0.28804245591163635,0.08004651742521673,0.1913397996686399
29,0.2573709446005523,0.28806471824645996,0.08016294578555971,0.19024102110415697
30,0.26198248425498605,0.2844136953353882,0.08025728480424732,0.1912715188227594
31,0.26806704280897975,0.29102057218551636,0.08009778382256627,0.18066334899049252
32,0.2604347849264741,0.2828943729400635,0.0787441108841449,0.18108249868964776
33,0.2803929434157908,0.2903393507003784,0.08026036061346531,0.1949298339895904
34,0.26016415376216173,0.28485459089279175,0.07942717324476689,0.17340703506488353
35,0.2553034042939544,0.2886120676994324,0.08026363071985543,0.1777781348209828
36,0.2585311303846538,0.2820727229118347,0.07840324100106955,0.1778873511357233
37,0.27056159544736147,0.288705438375473,0.07893572305329144,0.21030418621376157
38,0.2673463989049196,0.28453415632247925,0.07854593521915376,0.19166251365095377
39,0.255512208212167,0.2852345407009125,0.07938119617756456,0.17394990962930024
40,0.2609312483109534,0.2919132113456726,0.07938422251027077,0.17077205632813275
41,0.2502322611398995,0.288887619972229,0.08071907586418092,0.1743035608669743
42,0.24499596981331706,0.29256585240364075,0.0775269812438637,0.17565420037135482
43,0.24766609771177173,0.2861561179161072,0.07867071789223701,0.1614791329484433
44,0.25248615513555706,0.2946799695491791,0.07974832970649004,0.17385664966423064
45,0.2410903973504901,0.29039353132247925,0.07936425344087183,0.16029834788059816
46,0.24711706722155213,0.2851181924343109,0.07990730018354952,0.1662443126697326
47,0.23875263333320618,0.2840736508369446,0.08018974890001118,0.1555987240280956
48,0.26631704857572913,0.30215930938720703,0.07873186701908708,0.1738202441483736
49,0.24684549635276198,0.2942902147769928,0.07918790623079985,0.1636540638282895
50,0.24333570757880807,0.2872820496559143,0.08081596146803349,0.16451330028939992
51,0.24227709975093603,0.2885948419570923,0.07820012851152569,0.16280400240793824
