Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,123,330.7602977303254,2.689108111628662,0.04721914687882881,0.7154471544715447,1.541713006948591,2.00709957676819
Fixed Delta Condor,123,192.4000000000005,1.5642276422764267,0.024291933285208744,0.8211382113821138,1.2194954382372962,1.3821740730645733
Sigma Condor,123,344.4399999999989,2.8003252032520236,0.06278821017824733,0.7560975609756098,2.082051542786261,2.8724212373326443
