Epoch,TrainLoss,ValLoss,TrainDeltaLoss,TrainSizeLoss
1,0.914345981218876,0.33807286620140076,0.22010833216019166,0.657208766310643
2,0.3224891626682037,0.24000078439712524,0.15538399188946456,0.16879061771891055
3,0.27557424169320327,0.2200339436531067,0.11705261717240016,0.16328619570972827
4,0.26436987557472325,0.2173440307378769,0.11280467733740807,0.14780006772623613
5,0.2547621012498171,0.21700167655944824,0.10966378584122047,0.1429201868864206
6,0.24204356624529913,0.2167748659849167,0.10705315044675118,0.1431548056574777
7,0.24260964531164902,0.2167821228504181,0.10432527787410296,0.13247100421442434
8,0.23972104910092476,0.21648052334785461,0.10512485106786092,0.14139906632212493
9,0.23905532788007688,0.21607932448387146,0.10272003041628079,0.1312926980929497
10,0.2345375982232583,0.21486102044582367,0.10165588127878997,0.12798346588626885
11,0.23230697711308798,0.2143075168132782,0.10357296638763867,0.129469671453803
12,0.23039594044288,0.21413463354110718,0.09895272982808259,0.13003099322892153
13,0.2261301101400302,0.21486616134643555,0.09880906763749245,0.12498257130097884
14,0.2250472116164672,0.21385115385055542,0.09942915347906259,0.12116683561068314
15,0.21861342302499673,0.212839275598526,0.09738489507864682,0.12081953028264718
16,0.2215464447553341,0.21293500065803528,0.09802524726360272,0.11945073129848027
17,0.21399495483208925,0.21179133653640747,0.09574726434090199,0.10940942944337924
18,0.21441735059787065,0.2129349708557129,0.09675614086863323,0.12070508349018219
19,0.211695009126113,0.21300223469734192,0.09788697957992554,0.11520208504337531
20,0.21451324549240944,0.21204641461372375,0.09842033512317218,0.12121525712502308
21,0.21014150499533385,0.21255838871002197,0.09647483684313603,0.11013289753538676
22,0.20010943137682402,0.2143746316432953,0.09671759013182078,0.11334133234161597
23,0.20642253565482604,0.21446950733661652,0.09716322616888927,0.10930672918374722
24,0.2083663027255963,0.21364620327949524,0.09603927341791299,0.1103539852759777
25,0.1973778689518953,0.21323877573013306,0.09520775471360256,0.11106822100014259
26,0.20334549439259064,0.21555331349372864,0.09455519628066283,0.10459188830394012
27,0.20024741345491165,0.2153691053390503,0.09483206530029957,0.10495961376298697
28,0.19559087909949133,0.21458187699317932,0.09471660718703881,0.10141175608031261
29,0.19955600950962457,0.21501410007476807,0.09373500140813681,0.09934049054311636
30,0.19145764410495758,0.21654535830020905,0.09440038649317546,0.09743731578764243
31,0.18909363085642839,0.21586112678050995,0.09271599734440827,0.09612988651945041
32,0.19020536370002306,0.2172674834728241,0.09563031792640686,0.09598800267737645
