EntryTimestamp,Expiry,PnL,Credit,MaxLoss,WidthPut,WidthCall,ReturnOnRisk
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,-30.308498897552855,8.276859197616576,51.723140802383426,60.0,60.0,-0.5859756083520015
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,21.24365421175957,21.24365421175957,53.75634578824043,70.0,75.0,0.3951841201305533
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,16.37797350883484,16.37797350883484,53.62202649116516,70.0,70.0,0.3054336917224361
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,-25.864052189587838,17.177927975654605,52.822072024345395,70.0,70.0,-0.4896447867033168
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,11.171765834093437,15.771904706954956,54.228095293045044,70.0,60.0,0.2060143505635216
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,6.405043721199036,6.405043721199036,53.594956278800964,60.0,60.0,0.11950832999806918
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,14.691739327311515,14.691739327311515,50.30826067268848,60.0,65.0,0.292034332550229
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,12.125543274879456,12.125543274879456,52.874456725120545,55.0,65.0,0.22932705177316054
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,-24.074139643907543,17.568145047426228,52.43185495257377,70.0,70.0,-0.45915101927412916
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,-47.30441421031952,7.828935685157776,52.171064314842226,60.0,60.0,-0.9067174463769146
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,8.515125324726103,22.507115294933318,52.492884705066686,75.0,70.0,0.1622148482135944
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,24.489337483048438,24.489337483048438,50.51066251695156,75.0,75.0,0.4848350083475885
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,-49.32460864484312,24.44100747406483,50.55899252593517,75.0,65.0,-0.9755852753501991
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,23.63648067116737,23.63648067116737,51.36351932883263,75.0,75.0,0.46018031824971073
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,-17.915255799292872,12.475113830566407,52.52488616943359,65.0,65.0,-0.3410812874777538
2025-03-03T15:00:00.0,2025-03-04T21:00:00.0,-54.48353359103204,30.49078485369682,54.50921514630318,85.0,85.0,-0.9995288584654503
2025-03-04T15:00:00.0,2025-03-05T21:00:00.0,13.418069055080414,33.915119400024416,51.084880599975584,85.0,85.0,0.2626622377793485
2025-03-05T15:00:00.0,2025-03-06T21:00:00.0,12.329969868063749,31.129923924803734,53.870076075196266,70.0,85.0,0.22888346864133935
2025-03-06T15:00:00.0,2025-03-07T21:00:00.0,31.575304388999932,31.575304388999932,53.42469561100007,85.0,85.0,0.591024507072692
2025-03-07T15:00:00.0,2025-03-07T21:00:00.0,23.016953430175786,23.016953430175786,51.98304656982421,75.0,75.0,0.44277807764227817
2025-03-10T14:00:00.0,2025-03-11T20:00:00.0,-16.777781631946564,34.715409908294674,50.284590091705326,85.0,80.0,-0.33365652581334526
2025-03-11T14:00:00.0,2025-03-12T20:00:00.0,36.86383786439896,36.86383786439896,73.13616213560104,110.0,110.0,0.5040439201068561
2025-03-12T14:00:00.0,2025-03-13T20:00:00.0,15.54907222092152,36.54781927168369,53.45218072831631,85.0,90.0,0.2908968728507721
2025-03-13T14:00:00.0,2025-03-14T20:00:00.0,13.578671133518927,26.08277117013931,53.91722882986069,75.0,80.0,0.2518428974969634
2025-03-14T14:00:00.0,2025-03-14T20:00:00.0,-13.279503698348265,14.519457356929784,60.480542643070216,75.0,75.0,-0.2195665435199235
2025-03-17T14:00:00.0,2025-03-18T20:00:00.0,19.87232917547226,23.854759871959686,51.145240128040314,70.0,75.0,0.3885469913861501
2025-03-18T14:00:00.0,2025-03-19T20:00:00.0,10.110293197631835,28.447589683532712,51.55241031646729,80.0,80.0,0.19611678941037453
2025-03-19T14:00:00.0,2025-03-20T20:00:00.0,33.29179316520691,33.29179316520691,61.70820683479309,95.0,95.0,0.5395034935034917
2025-03-20T14:00:00.0,2025-03-21T20:00:00.0,24.595281416177748,24.595281416177748,50.40471858382225,75.0,75.0,0.4879559316510454
2025-03-21T14:00:00.0,2025-03-21T20:00:00.0,11.482567179799078,18.925890762209892,51.07410923779011,70.0,70.0,0.2248216826717174
2025-03-24T14:00:00.0,2025-03-25T20:00:00.0,24.794922244548797,24.794922244548797,50.2050777554512,70.0,75.0,0.4938727983915252
2025-03-25T14:00:00.0,2025-03-26T20:00:00.0,-13.829684931040143,16.327353781461717,53.67264621853828,70.0,70.0,-0.25766728315816545
2025-03-26T14:00:00.0,2025-03-27T20:00:00.0,-16.43826389670427,24.407725980281825,50.592274019718175,75.0,75.0,-0.3249164860685549
2025-03-27T14:00:00.0,2025-03-28T20:00:00.0,-52.81053862869739,27.129727980494497,52.87027201950551,80.0,80.0,-0.9988701894556911
