Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.1343878241112599,0.12723368406295776,0.1333001900750857
2,0.12084408906789926,0.12219325453042984,0.11871171828645927
3,0.1170871458374537,0.1214325875043869,0.11614324639622982
4,0.11308692796872212,0.12100424617528915,0.11168127650251755
5,0.10989694440594086,0.12066056579351425,0.11015050399761933
6,0.1098308190703392,0.1205812394618988,0.11011529570588699
7,0.10820007754059938,0.12072516977787018,0.10821338055225518
8,0.10639928252651142,0.12064897269010544,0.10653655059062518
9,0.10595300449774815,0.12111502885818481,0.10506607563449787
10,0.10606772681841484,0.12085850536823273,0.10576435264486533
11,0.10429642693354534,0.12095464766025543,0.10473889742906277
12,0.10458192630456044,0.11978929489850998,0.10333760885091928
13,0.10385381430387497,0.11983343958854675,0.10197122051165654
14,0.10302121736682378,0.11955001950263977,0.10347153590275691
15,0.10031833012516682,0.12010858952999115,0.10089582863908547
16,0.09948534088639113,0.12068438529968262,0.10143534065439151
17,0.09997805781089343,0.12028399109840393,0.10013237624214245
18,0.09902379518518081,0.12022115290164948,0.0995955249437919
19,0.09939159940068538,0.1221688911318779,0.09832362544078094
20,0.09839480886092553,0.12116841971874237,0.09775681392504619
21,0.09753133700444148,0.12198187410831451,0.09670091219819509
22,0.09684207175786679,0.12234657257795334,0.09785020150817357
23,0.09819309327464837,0.1217786967754364,0.09737980566345729
24,0.09668374692018215,0.12232978641986847,0.0963801512351403
25,0.0959938159928872,0.12294110655784607,0.09700980324011582
26,0.09629953165466969,0.12176880985498428,0.09663876776511852
27,0.0938052274286747,0.12332138419151306,0.09415865116394483
28,0.0942095432143945,0.12126248329877853,0.09450575078909214
29,0.09499516481390366,0.12146499007940292,0.09434989094734192
