Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.1752327173948288,0.13686391711235046,0.16879583895206451
2,0.1535917967557907,0.12388910353183746,0.15005863308906556
3,0.1323950082063675,0.11629676073789597,0.13194657266139984
4,0.1270687073469162,0.11183851212263107,0.12316860109567643
5,0.12122740596532822,0.10852417349815369,0.12064210921525956
6,0.11429269462823868,0.10601993650197983,0.11617446094751357
7,0.11400950402021408,0.10396688431501389,0.11564510464668273
8,0.10898094028234481,0.10228002816438675,0.10902827978134155
9,0.11162209659814834,0.10072819888591766,0.11014361530542374
10,0.10542846620082855,0.09920056164264679,0.10399757474660873
11,0.10340333133935928,0.09707427024841309,0.0977150171995163
12,0.10042755454778671,0.09466942399740219,0.09859381020069122
13,0.0992413654923439,0.09219378978013992,0.09492653459310532
14,0.09846506267786026,0.08953530341386795,0.097834312915802
15,0.09446318596601486,0.08727464079856873,0.0949294164776802
16,0.08926622569561005,0.08504534512758255,0.09237800538539886
17,0.0896834209561348,0.08277443051338196,0.08729140758514405
18,0.09127702713012695,0.08061789721250534,0.08663323670625686
19,0.08551715165376664,0.0788029357790947,0.08844604343175888
20,0.08877124339342117,0.07706907391548157,0.08436443209648133
21,0.08097824305295945,0.07537741959095001,0.0827152118086815
22,0.08397168070077896,0.07375933229923248,0.07949686795473099
23,0.08458286821842194,0.0727488100528717,0.08493144661188126
24,0.08369241803884506,0.07195231318473816,0.08102210611104965
25,0.08281034380197524,0.07125061005353928,0.0794812336564064
26,0.0812018170952797,0.07036180794239044,0.08232851624488831
27,0.08277789503335953,0.06942866742610931,0.07495935112237931
28,0.07928683459758759,0.06866330653429031,0.08081379383802414
29,0.0833234041929245,0.06831161677837372,0.0757912591099739
30,0.07554856911301613,0.06799503415822983,0.07801731079816818
31,0.07543842941522598,0.06784870475530624,0.07648016214370727
32,0.07469770610332489,0.06738962233066559,0.07582082450389863
33,0.07698493599891662,0.06743118166923523,0.07429812401533127
34,0.07913986295461654,0.06762566417455673,0.07636208981275558
35,0.07736975401639938,0.06773266196250916,0.07377619445323944
36,0.07173478752374648,0.06785979866981506,0.07034115046262741
37,0.07567388862371445,0.06770972907543182,0.07269720807671547
38,0.0682298369705677,0.06768070161342621,0.07009743303060531
39,0.07058878839015961,0.06750170886516571,0.07416368871927262
40,0.07482187449932098,0.06728579103946686,0.07277814149856568
41,0.0734296828508377,0.06725630164146423,0.06852806806564331
42,0.07474048137664795,0.06724715977907181,0.07022582590579987
43,0.07343334406614303,0.0668594017624855,0.0741307221353054
44,0.07056349962949753,0.0668935477733612,0.07071246951818466
45,0.0711001105606556,0.06689510494470596,0.07269872203469277
46,0.07104790583252907,0.06717897206544876,0.0717279277741909
47,0.07479794323444366,0.06746405363082886,0.06882931515574456
48,0.06548627242445945,0.0676511600613594,0.06871960163116456
49,0.06654225289821625,0.06755083799362183,0.06560264378786088
50,0.06910113468766213,0.06745070219039917,0.06405829265713692
51,0.07001637667417526,0.06704746186733246,0.06935908496379853
52,0.07093369364738464,0.06692496687173843,0.06866121366620064
53,0.06367861703038216,0.06673809885978699,0.06854699105024338
54,0.06647056937217713,0.06611239165067673,0.06926271617412567
55,0.06503438651561737,0.06581433862447739,0.06747728809714318
56,0.06562699303030968,0.06617515534162521,0.0638026900589466
57,0.06804264336824417,0.0665166825056076,0.0674738697707653
58,0.06283295750617982,0.06700711697340012,0.06959121525287629
59,0.059238772839307785,0.06729557365179062,0.06721939817070961
60,0.06857633441686631,0.06742233037948608,0.06538193076848983
61,0.060856738686561586,0.06765370815992355,0.06495674028992653
62,0.0641053132712841,0.06753481924533844,0.06654419302940369
63,0.06768259704113007,0.06740207970142365,0.06214952170848846
64,0.06136095598340034,0.0674089714884758,0.059932973235845566
65,0.061279605329036715,0.06729000061750412,0.06307343393564224
66,0.06320700868964195,0.0671994686126709,0.056529005616903306
67,0.0620270349085331,0.06701289862394333,0.06474194079637527
68,0.059229735285043716,0.0671459510922432,0.05677268207073212
69,0.06359376311302185,0.06756021082401276,0.05782641917467117
70,0.058718538284301756,0.06791679561138153,0.060478993505239484
