EntryTime,EntrySpot,Expiry,Strike,Type,Direction,EntryPrice,ExitSpot,PnL
2024-01-31T15:00:00.0,487.69,2024-02-01T21:00:00.0,482.0,Put,-1,0.0009022124710369292,489.02,0.44
2024-01-31T15:00:00.0,487.69,2024-02-01T21:00:00.0,494.0,Call,-1,0.0008612028132625233,489.02,0.42
2024-02-01T15:00:00.0,484.46,2024-02-02T21:00:00.0,479.0,Put,-1,0.0009495107955249144,493.77,0.46
2024-02-01T15:00:00.0,484.46,2024-02-02T21:00:00.0,490.0,Call,-1,0.0007637369442265615,493.77,-3.3999999999999817
2024-02-02T15:00:00.0,490.59,2024-02-02T21:00:00.0,487.5,Put,-1,0.0005299741128029516,493.77,0.26
2024-02-02T15:00:00.0,490.59,2024-02-02T21:00:00.0,493.0,Call,-1,0.0005095904930797611,493.77,-0.5199999999999818
2024-02-05T15:00:00.0,492.7,2024-02-06T21:00:00.0,489.0,Put,-1,0.0005682971382179826,493.94,0.28
2024-02-05T15:00:00.0,492.7,2024-02-06T21:00:00.0,497.0,Call,-1,0.0005277044854881266,493.94,0.26
2024-02-06T15:00:00.0,492.83,2024-02-07T21:00:00.0,489.0,Put,-1,0.0006493111214820527,497.91,0.32
2024-02-06T15:00:00.0,492.83,2024-02-07T21:00:00.0,497.0,Call,-1,0.000547856258750482,497.91,-0.640000000000025
2024-02-07T15:00:00.0,495.805,2024-02-08T21:00:00.0,492.0,Put,-1,0.0006252458123657486,498.25,0.31
2024-02-07T15:00:00.0,495.805,2024-02-08T21:00:00.0,500.0,Call,-1,0.00048406127408961183,498.25,0.24
2024-02-08T15:00:00.0,498.0201,2024-02-09T21:00:00.0,494.0,Put,-1,0.0005823058145645125,501.04,0.29
2024-02-08T15:00:00.0,498.0201,2024-02-09T21:00:00.0,502.0,Call,-1,0.0004819082603292517,501.04,0.24
2024-02-09T15:00:00.0,499.45,2024-02-09T21:00:00.0,497.0,Put,-1,0.000380418460306337,501.04,0.19
2024-02-09T15:00:00.0,499.45,2024-02-09T21:00:00.0,502.0,Call,-1,0.00028030833917309044,501.04,0.14
2024-02-12T15:00:00.0,501.35,2024-02-13T21:00:00.0,497.0,Put,-1,0.0008377381071108008,494.06,-2.519999999999998
2024-02-12T15:00:00.0,501.35,2024-02-13T21:00:00.0,506.0,Call,-1,0.0006382766530368006,494.06,0.32
2024-02-13T15:00:00.0,493.73,2024-02-14T21:00:00.0,489.0,Put,-1,0.0006481275190893808,498.92,0.32
2024-02-13T15:00:00.0,493.73,2024-02-14T21:00:00.0,498.0,Call,-1,0.0007493974439470966,498.92,-0.5500000000000159
2024-02-14T15:00:00.0,496.93,2024-02-15T21:00:00.0,492.0,Put,-1,0.0006037067595033506,502.02,0.3
2024-02-14T15:00:00.0,496.93,2024-02-15T21:00:00.0,501.0,Call,-1,0.0007848187873543557,502.02,-0.6299999999999818
2024-02-15T15:00:00.0,499.81,2024-02-16T21:00:00.0,495.0,Put,-1,0.0007602889097857186,499.32,0.38
2024-02-15T15:00:00.0,499.81,2024-02-16T21:00:00.0,504.0,Call,-1,0.0006602508953402293,499.32,0.33
2024-02-16T15:00:00.0,499.53,2024-02-16T21:00:00.0,496.0,Put,-1,0.0006205833483474467,499.32,0.31
2024-02-16T15:00:00.0,499.53,2024-02-16T21:00:00.0,503.0,Call,-1,0.0002802634476407824,499.32,0.14
2024-02-20T15:00:00.0,496.55,2024-02-21T21:00:00.0,491.0,Put,-1,0.0009263921055281442,497.09,0.46
2024-02-20T15:00:00.0,496.55,2024-02-21T21:00:00.0,502.0,Call,-1,0.0007451414761856812,497.09,0.37
2024-02-21T15:00:00.0,495.325,2024-02-22T21:00:00.0,490.0,Put,-1,0.0010296270125675063,507.38,0.51
2024-02-21T15:00:00.0,495.325,2024-02-22T21:00:00.0,501.0,Call,-1,0.0009690607177105941,507.38,-5.899999999999995
