Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,40,-5.945799999999951,-0.14864499999999878,-0.03555023522367162,0.75,-1.7651870031885035,-1.8984241713522003
Fixed Delta Condor,30,-5.075799999999978,-0.16919333333333259,-0.05952474906807203,0.7666666666666667,-2.461054611031737,-2.587136982100036
Sigma Condor,43,-2.5549999999999904,-0.05941860465116257,-0.006759890255091235,0.6976744186046512,-0.22741068919082766,-0.26458046798273505
