Epoch,TrainLoss,ValLoss,TrainDeltaLoss
1,0.16378378123044968,0.1275121122598648,0.1547268107533455
2,0.14489053810636202,0.1173361986875534,0.14446954677502313
3,0.13741067300240198,0.11051645129919052,0.13240723063548407
4,0.12549832090735435,0.10516604036092758,0.12355211501320203
5,0.11933316042025884,0.10029472410678864,0.11987947796781857
6,0.12052729974190395,0.09619583189487457,0.11414915447433789
7,0.11185609052578609,0.0929032489657402,0.11156368628144264
8,0.10720079640547435,0.0905112773180008,0.1057617465655009
9,0.10313727955023448,0.08868175745010376,0.10061611856023471
10,0.10057754938801129,0.08748824149370193,0.0999892217417558
11,0.09587701534231503,0.08686073124408722,0.09184954191247623
12,0.0979349414507548,0.0868326872587204,0.09984850759307544
13,0.09812000145514806,0.08722278475761414,0.09343437726298968
14,0.09390958771109581,0.08749964833259583,0.09135316436489423
15,0.09030054385463397,0.08753814548254013,0.0912136398255825
16,0.09998018046220143,0.08794165402650833,0.09004388004541397
17,0.09502294659614563,0.08804430067539215,0.09172267342607181
18,0.08757991467912991,0.0882323756814003,0.0903457577029864
19,0.08856589471300443,0.08846502006053925,0.08765595530470212
20,0.08225816426177819,0.08863358199596405,0.08577707906564076
21,0.08323545257250468,0.08858897536993027,0.0874270424246788
22,0.0792713463306427,0.08830785751342773,0.08734104782342911
23,0.08529017120599747,0.08830749243497849,0.07909857109189034
24,0.08312714472413063,0.08853180706501007,0.08698501562078793
25,0.0860007678469022,0.08861786127090454,0.08324061458309491
26,0.08067193254828453,0.0888332799077034,0.08421446196734905
27,0.08546918878952663,0.0891764760017395,0.08379994208614032
