Strategy,Count,TotalPnL,AvgPnL,AvgROI,WinRate,Sharpe,Sortino
ML Condor,125,6.003284812366948,0.04802627849893558,0.006985962857399052,0.672,0.26063553579731263,0.32523379140967185
Fixed Delta Condor,124,8.340799999999977,0.06726451612903207,0.012085040826604214,0.8064516129032258,0.6009307592672274,0.6687023647045042
Sigma Condor,125,-7.029599999999955,-0.05623679999999964,-0.11592703106317169,0.72,-1.2644349596054445,-1.2831141313233945
