EntryTimestamp,Expiry,PnL,Credit,MaxLoss,WidthPut,WidthCall,ReturnOnRisk
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,-1.5586709475517273,0.18374576210975652,7.816254237890243,8.0,8.0,-0.19941405436838022
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,2.080375865697861,2.080375865697861,5.919624134302139,8.0,8.0,0.3514371552144358
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,1.832789602279663,1.832789602279663,5.167210397720337,7.0,6.0,0.3546961438009667
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,-2.3676440715789795,0.8683159351348877,6.131684064865112,7.0,6.0,-0.3861327567650966
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,-1.2139021968841472,1.472748988866806,5.527251011133194,7.0,5.0,-0.21962132612379293
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,0.4344837641716003,0.4344837641716003,5.5655162358284,6.0,5.0,0.07806710927812602
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,1.11640784740448,1.11640784740448,6.88359215259552,8.0,4.0,0.16218390378975728
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,0.7364682871103286,0.7364682871103286,6.263531712889671,7.0,4.0,0.11758035575915685
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,-0.8224966585636241,1.1290635949373244,5.870936405062675,7.0,7.0,-0.14009633247847172
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,-2.133723444342613,0.20674102842807773,5.793258971571922,6.0,5.0,-0.3683114210521226
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,-3.708313859105087,2.688777434229851,5.311222565770149,8.0,8.0,-0.6982034386968617
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,3.5282725799083714,3.5282725799083714,5.471727420091629,9.0,9.0,0.6448187764165503
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,-5.044682995080949,2.58432720541954,5.41567279458046,8.0,8.0,-0.9314970062684057
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,1.1430492925643922,1.1430492925643922,5.856950707435608,7.0,7.0,0.19516115973338316
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,-1.2724668115377396,0.8804094696044921,6.119590530395508,7.0,7.0,-0.2079333258030093
2025-03-03T15:00:00.0,2025-03-04T21:00:00.0,-3.2690581655502093,1.3513431930541993,8.648656806945802,10.0,10.0,-0.37798449383779503
2025-03-04T15:00:00.0,2025-03-05T21:00:00.0,-1.1497633814811816,2.8994033098220835,5.100596690177916,7.0,8.0,-0.2254174268856133
2025-03-05T15:00:00.0,2025-03-06T21:00:00.0,-1.0297497016191597,2.519387619495392,6.480612380504608,9.0,9.0,-0.15889697472370334
2025-03-06T15:00:00.0,2025-03-07T21:00:00.0,1.8366672158241277,1.8366672158241277,5.663332784175872,7.0,7.5,0.3243085451301798
2025-03-07T15:00:00.0,2025-03-07T21:00:00.0,0.9577411937713625,0.9577411937713625,6.042258806228638,7.0,7.0,0.15850714517294076
2025-03-10T14:00:00.0,2025-03-11T20:00:00.0,-0.33998595595359105,3.4798562550544743,5.520143744945526,9.0,9.0,-0.06159005483596263
2025-03-11T14:00:00.0,2025-03-12T20:00:00.0,2.709814888238907,2.709814888238907,5.290185111761093,8.0,8.0,0.5122344173201937
2025-03-12T14:00:00.0,2025-03-13T20:00:00.0,0.19820654392243808,3.3100492835044864,5.689950716495513,9.0,9.0,0.034834492212353484
2025-03-13T14:00:00.0,2025-03-14T20:00:00.0,1.8883808910846784,1.8964165544509888,6.103583445549011,8.0,8.0,0.30938888735301306
2025-03-14T14:00:00.0,2025-03-14T20:00:00.0,0.6483245515823434,0.6560427010059356,5.343957298994065,6.0,6.0,0.12131918638354064
2025-03-17T14:00:00.0,2025-03-18T20:00:00.0,1.1295292675494963,1.6170958578586578,5.382904142141342,7.0,5.0,0.2098364075827969
2025-03-18T14:00:00.0,2025-03-19T20:00:00.0,0.7190877056121829,2.966236785650253,5.033763214349747,7.0,8.0,0.1428529064621633
2025-03-19T14:00:00.0,2025-03-20T20:00:00.0,2.926703667640686,2.926703667640686,5.073296332359314,8.0,7.0,0.5768840367106322
2025-03-20T14:00:00.0,2025-03-21T20:00:00.0,1.9118531906604774,1.9118531906604774,5.088146809339523,7.0,6.0,0.37574646768272973
2025-03-21T14:00:00.0,2025-03-21T20:00:00.0,-0.36542768955230504,1.452340817451477,5.547659182548523,7.0,7.0,-0.06587060912138303
2025-03-24T14:00:00.0,2025-03-25T20:00:00.0,1.062841957807541,1.7875069290399552,5.212493070960045,7.0,7.0,0.2039028049224409
2025-03-25T14:00:00.0,2025-03-26T20:00:00.0,-0.4722307324409565,0.5190635323524475,6.4809364676475525,7.0,7.0,-0.07286458288833783
2025-03-26T14:00:00.0,2025-03-27T20:00:00.0,-3.1444703147888142,1.8363581609725954,5.163641839027404,7.0,7.0,-0.6089636757961295
2025-03-27T14:00:00.0,2025-03-28T20:00:00.0,-5.563911434412003,2.413022521734238,5.586977478265762,8.0,8.0,-0.9958714628896412
2025-03-28T14:00:00.0,2025-03-28T20:00:00.0,-5.725032138228416,1.1725969439744948,5.8274030560255055,7.0,7.0,-0.9824328406988704
2025-03-31T14:00:00.0,2025-04-01T20:00:00.0,-3.189926226139073,3.429920675754547,5.570079324245453,9.0,9.0,-0.572689550802976
2025-04-01T14:00:00.0,2025-04-02T20:00:00.0,0.9176596426963877,2.982393838763237,5.017606161236763,8.0,7.0,0.18288793763562317
2025-04-02T14:00:00.0,2025-04-03T20:00:00.0,-2.9513570129871365,1.1194802463054656,5.880519753694534,6.0,7.0,-0.5018871012435419
2025-04-03T14:00:00.0,2025-04-04T20:00:00.0,-5.016512086391447,2.9620359635353086,5.037964036464691,8.0,7.0,-0.9957419406097433
2025-04-04T14:00:00.0,2025-04-04T20:00:00.0,-5.219897325038911,2.7799453186988825,5.220054681301118,8.0,8.0,-0.9999698554379572
2025-04-07T14:00:00.0,2025-04-08T20:00:00.0,5.699999999999999,5.699999999999999,5.300000000000001,11.0,11.0,1.0754716981132073
2025-04-08T14:00:00.0,2025-04-09T20:00:00.0,-5.299999999999999,4.699999999999999,5.300000000000001,10.0,10.0,-0.9999999999999997
2025-04-09T14:00:00.0,2025-04-10T20:00:00.0,-4.686394418477998,3.946963316202165,6.053036683797835,10.0,10.0,-0.7742220414791259
2025-04-10T14:00:00.0,2025-04-11T20:00:00.0,3.8000000000000003,3.8000000000000003,5.199999999999999,9.0,9.0,0.730769230769231
2025-04-11T14:00:00.0,2025-04-11T20:00:00.0,0.33999999999997454,2.9999999999999996,5.0,8.0,8.0,0.06799999999999491
2025-04-14T14:00:00.0,2025-04-15T20:00:00.0,4.24,4.24,5.76,10.0,10.0,0.7361111111111112
2025-04-15T14:00:00.0,2025-04-16T20:00:00.0,-5.333664422035216,2.5534548711776734,5.4465451288223266,8.0,8.0,-0.9792748055662365
2025-04-16T14:00:00.0,2025-04-17T20:00:00.0,3.6399312233924856,3.6399312233924856,5.360068776607514,9.0,9.0,0.6790829325321204
2025-04-17T14:00:00.0,2025-04-17T20:00:00.0,0.6641806674003601,0.6641806674003601,6.33581933259964,7.0,7.0,0.10482948337604209
2025-04-21T14:00:00.0,2025-04-22T20:00:00.0,-0.9798206150531606,3.349386796355248,5.6506132036447525,9.0,9.0,-0.17340075842054767
2025-04-22T14:00:00.0,2025-04-23T20:00:00.0,-4.031285132169724,2.9192064750194544,5.080793524980546,8.0,7.0,-0.7934361261384183
2025-04-23T14:00:00.0,2025-04-24T20:00:00.0,3.1085982286929994,3.348490053415298,6.651509946584702,10.0,10.0,0.46735226341939795
2025-04-24T14:00:00.0,2025-04-25T20:00:00.0,-2.402947149276729,2.8953543519973746,5.104645648002625,8.0,7.5,-0.4707373077339791
2025-04-25T14:00:00.0,2025-04-25T20:00:00.0,-0.5154631304740861,1.3481343412399291,5.651865658760071,7.0,7.0,-0.09120229701057163
2025-04-28T14:00:00.0,2025-04-29T20:00:00.0,2.17762668132782,2.17762668132782,5.82237331867218,8.0,8.0,0.37401014365469065
2025-04-29T14:00:00.0,2025-04-30T20:00:00.0,2.281754189729691,2.281754189729691,5.718245810270309,8.0,8.0,0.3990304483993194
2025-04-30T14:00:00.0,2025-05-01T20:00:00.0,-5.06958145916462,2.929758121371269,5.070241878628731,8.0,8.0,-0.9998697459648042
2025-05-01T14:00:00.0,2025-05-02T20:00:00.0,1.830216331481947,2.7154840135574343,5.284515986442566,8.0,8.0,0.3463356599123496
2025-05-02T14:00:00.0,2025-05-02T20:00:00.0,0.7985358756780625,0.7985358756780625,5.701464124321937,6.5,6.0,0.14005803742087575
2025-05-05T14:00:00.0,2025-05-06T20:00:00.0,-0.5589089536667116,2.3454215019941334,5.654578498005867,8.0,8.0,-0.09884184185679187
2025-05-06T14:00:00.0,2025-05-07T20:00:00.0,1.6587909078598198,2.927865879535675,5.072134120464325,8.0,8.0,0.3270400325510255
2025-05-07T14:00:00.0,2025-05-08T20:00:00.0,2.300308781862243,2.967497909069061,6.032502090930938,9.0,9.0,0.38131918517201185
2025-05-08T14:00:00.0,2025-05-09T20:00:00.0,1.7986512482166286,1.7986512482166286,5.701348751783371,7.0,7.5,0.3154782011281127
