Epoch,TrainLoss,ValLoss,TrainDeltaLoss,TrainSizeLoss
1,0.8113964712008451,0.2988717555999756,0.16170857139886954,0.6344705602297416
2,0.3200791890804584,0.23308557271957397,0.11758510023355484,0.1943424713726227
3,0.2778189908235501,0.22913715243339539,0.11242790959584407,0.17356185662822846
4,0.2718311972343005,0.2274646759033203,0.10724475196538827,0.1598278318460171
5,0.2614290488836093,0.225786492228508,0.10463264393500793,0.1554846729223545
6,0.25702497152945936,0.22328628599643707,0.10298780160836685,0.14954541442103875
7,0.25343007231369996,0.22282734513282776,0.10165461095479819,0.14848678902937815
8,0.2514552080478424,0.21903705596923828,0.1014905157379615,0.14466052636122093
9,0.24149781255385813,0.2172556072473526,0.10310399035612743,0.14478134201505247
10,0.2436275214720995,0.21710294485092163,0.09865498600097802,0.14180562372964162
11,0.23759675197876418,0.21613214910030365,0.09831615460988803,0.13895432364482146
12,0.238823431233565,0.21588701009750366,0.0976018919967688,0.13880627311001986
13,0.23274642725785574,0.21522128582000732,0.0972490492157447,0.13857966269820166
14,0.22779213274136567,0.21474510431289673,0.09678902343297616,0.1310551465035249
15,0.22782635039243943,0.21591401100158691,0.09620213116972874,0.1346800425209296
16,0.23299295359697098,0.2159893810749054,0.0959835053445437,0.13091562373133805
17,0.22301660650051558,0.217413991689682,0.09506300722177212,0.1255328192924842
18,0.22412656935361716,0.2172563672065735,0.09440376131962507,0.12901550106322154
19,0.220722041451014,0.21584296226501465,0.0946739194675898,0.12381338490507542
20,0.21502771362280235,0.21842965483665466,0.09326286910054012,0.1287361488510401
21,0.2169308874469537,0.22017401456832886,0.0930871077072926,0.1224562925979113
22,0.21273646522790957,0.21956321597099304,0.09356151903286958,0.12259734331224209
23,0.21282229094933242,0.2212463617324829,0.09247286579547784,0.12185855305347687
24,0.20464255469731796,0.22207850217819214,0.09226442758853619,0.1164283564266486
25,0.2117640406657488,0.22290349006652832,0.09169109738790072,0.11528813423445591
26,0.2092054620003089,0.2209220826625824,0.09232525183604313,0.11670041447266555
27,0.20542250669155365,0.22180292010307312,0.0910134123494992,0.1099713438978562
28,0.20450153450171152,0.2251371443271637,0.08942323416853562,0.11042476562448801
29,0.2056551313935182,0.2239280492067337,0.09040815077531032,0.11224295413837983
