EntryTimestamp,Expiry,OptionType,Strike,Direction,Quantity,EntrySpot,EntryPrice,EntryBid,EntryAsk,EntryPriceUsd,EntryBidUsd,EntryAskUsd,EntryCostUsd,PnL
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,Put,604.0,-1,0.22631314396858215,606.46,0.000544141410810276,0.000544141410810276,0.0016489133660917454,0.33,0.33,1.0,-0.07468333750963213,-0.5725722542405158
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,Call,609.0,-1,0.22631314396858215,606.46,0.0002143587375919269,0.0002143587375919269,0.0012037067572469742,0.13,0.13,0.7300000000000001,-0.02942070871591568,0.02942070871591568
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,Put,598.0,1,0.22631314396858215,606.46,0.00023084787125284437,8.244566830458728e-5,0.00023084787125284437,0.14,0.05,0.14,0.0316838401556015,-0.0316838401556015
2025-02-07T15:00:00.0,2025-02-07T21:00:00.0,Call,614.0,1,0.22631314396858215,606.46,3.297826732183491e-5,1.6489133660917455e-5,3.297826732183491e-5,0.02,0.01,0.02,0.004526262879371644,-0.004526262879371644
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,Put,601.0,-1,0.9983062148094177,603.59,0.002269752646664126,0.002269752646664126,0.002418860484766149,1.37,1.37,1.4600000000000002,-1.3676795142889022,1.3676795142889022
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,Call,607.0,-1,0.9983062148094177,603.59,0.0012591328550837489,0.0012591328550837489,0.001341970542918206,0.76,0.76,0.81,-0.7587127232551575,0.7587127232551575
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,Put,594.0,1,0.9983062148094177,603.59,0.0005301612021405258,0.0004804585894398515,0.0005301612021405258,0.32,0.29,0.32,0.31945798873901365,-0.31945798873901365
2025-02-10T15:00:00.0,2025-02-11T21:00:00.0,Call,614.0,1,0.9983062148094177,603.59,3.313507513378286e-5,3.313507513378286e-5,3.313507513378286e-5,0.02,0.02,0.02,0.019966124296188353,-0.019966124296188353
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,Put,599.0,-1,0.9759193062782288,603.48,0.0017233379730894147,0.0017233379730894147,0.0021873135812288725,1.04,1.04,1.32,-1.0149560785293579,1.0149560785293579
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,Call,607.0,-1,0.9759193062782288,603.48,0.0014747796115861338,0.0014747796115861338,0.0019553257771591434,0.89,0.89,1.18,-0.8685681825876237,0.8685681825876237
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,Put,592.0,1,0.9759193062782288,603.48,0.0004474050507059058,0.0003314111486710413,0.0004474050507059058,0.27,0.2,0.27,0.2634982126951218,-0.2634982126951218
2025-02-11T15:00:00.0,2025-02-12T21:00:00.0,Call,614.0,1,0.9759193062782288,603.48,8.285278716776032e-5,8.285278716776032e-5,8.285278716776032e-5,0.05,0.05,0.05,0.048795965313911435,-0.048795965313911435
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,Put,597.0,-1,0.8965202569961548,600.8,0.0017310252996005327,0.0017310252996005327,0.0019474034620505993,1.04,1.04,1.17,-0.932381067276001,0.932381067276001
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,Call,605.0,-1,0.8965202569961548,600.8,0.0010652463382157125,0.0010652463382157125,0.0012982689747003996,0.64,0.64,0.78,-0.5737729644775391,-3.397811774015382
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,Put,590.0,1,0.8965202569961548,600.8,0.0004826897470039947,0.0004161118508655127,0.0004826897470039947,0.29,0.25,0.29,0.2599908745288849,-0.2599908745288849
2025-02-12T15:00:00.0,2025-02-13T21:00:00.0,Call,612.0,1,0.8965202569961548,600.8,4.993342210386152e-5,4.993342210386152e-5,4.993342210386152e-5,0.03,0.03,0.03,0.02689560770988464,-0.02689560770988464
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,Put,602.0,-1,0.9861741662025452,605.0,0.0018181818181818184,0.0018181818181818184,0.0019173553719008263,1.1,1.1,1.16,-1.0847915828227999,1.0847915828227999
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,Call,608.0,-1,0.9861741662025452,605.0,0.0014049586776859503,0.0014049586776859503,0.0014710743801652892,0.85,0.85,0.8899999999999999,-0.8382480412721633,-0.6311514663696378
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,Put,595.0,1,0.9861741662025452,605.0,0.0004297520661157025,0.00039669421487603304,0.0004297520661157025,0.26,0.24,0.26,0.25640528321266176,-0.25640528321266176
2025-02-13T15:00:00.0,2025-02-14T21:00:00.0,Call,615.0,1,0.9861741662025452,605.0,3.305785123966942e-5,3.305785123966942e-5,3.305785123966942e-5,0.02,0.02,0.02,0.019723483324050904,-0.019723483324050904
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,Put,608.0,-1,0.09310836344957352,610.385,0.0007700058160013761,0.0007700058160013761,0.0008519213283419482,0.4699999999999999,0.4699999999999999,0.52,-0.04376093082129955,0.04376093082129955
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,Call,612.0,-1,0.09310836344957352,610.385,0.0007044734061289186,0.0007044734061289186,0.0008191551234057194,0.43,0.43,0.5,-0.040036596283316614,0.040036596283316614
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,Put,602.0,1,0.09310836344957352,610.385,0.0001310648197449151,0.00011468171727680072,0.0001310648197449151,0.07999999999999999,0.07,0.07999999999999999,0.007448669075965881,-0.007448669075965881
2025-02-14T15:00:00.0,2025-02-14T21:00:00.0,Call,618.0,1,0.09310836344957352,610.385,1.6383102468114386e-5,1.6383102468114386e-5,1.6383102468114386e-5,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.0009310836344957351,-0.0009310836344957351
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,Put,607.0,-1,0.9912834763526917,609.835,0.0013610238835094737,0.0013610238835094737,0.0015905941771134813,0.83,0.83,0.97,-0.822765285372734,0.822765285372734
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,Call,613.0,-1,0.9912834763526917,609.835,0.0009510769306451743,0.0009510769306451743,0.0010822599555617503,0.58,0.58,0.66,-0.5749444162845612,0.5749444162845612
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,Put,600.0,1,0.9912834763526917,609.835,0.0002951618060622955,0.0002623660498331516,0.0002951618060622955,0.18,0.16,0.18,0.17843102574348452,-0.17843102574348452
2025-02-18T15:00:00.0,2025-02-19T21:00:00.0,Call,619.0,1,0.9912834763526917,609.835,4.9193634343715916e-5,4.9193634343715916e-5,4.9193634343715916e-5,0.03,0.03,0.03,0.029738504290580746,-0.029738504290580746
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,Put,608.0,-1,0.9808472990989685,610.06,0.0015080483886830806,0.0015080483886830806,0.001606399370553716,0.92,0.92,0.98,-0.9023795151710512,0.9023795151710512
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,Call,613.0,-1,0.9808472990989685,610.06,0.0007868078549650854,0.0007868078549650854,0.0008195915155886306,0.48,0.48,0.49999999999999994,-0.47080670356750487,0.47080670356750487
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,Put,601.0,1,0.9808472990989685,610.06,0.0002622692849883618,0.0002622692849883618,0.0002622692849883618,0.16,0.16,0.16,0.15693556785583496,-0.15693556785583496
2025-02-19T15:00:00.0,2025-02-20T21:00:00.0,Call,620.0,1,0.9808472990989685,610.06,3.278366062354523e-5,3.278366062354523e-5,3.278366062354523e-5,0.02,0.02,0.02,0.01961694598197937,-0.01961694598197937
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,Put,604.0,-1,0.9617592692375183,607.55,0.0013661427043041726,0.0013661427043041726,0.0018270101226236528,0.83,0.83,1.11,-0.7982601934671402,-2.8083370661735536
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,Call,611.0,-1,0.9617592692375183,607.55,0.0015965764134639126,0.0015965764134639126,0.0019093078758949881,0.97,0.97,1.16,-0.9329064911603927,0.9329064911603927
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,Put,597.0,1,0.9617592692375183,607.55,0.0004937865196280142,0.0003621101143938771,0.0004937865196280142,0.3,0.22,0.3,0.2885277807712555,-0.2885277807712555
2025-02-20T15:00:00.0,2025-02-21T21:00:00.0,Call,618.0,1,0.9617592692375183,607.55,0.00011521685457986999,9.875730392560284e-5,0.00011521685457986999,0.07,0.060000000000000005,0.07,0.06732314884662628,-0.06732314884662628
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,Put,606.0,-1,0.6498782634735107,608.18,0.0007399125258969385,0.0007399125258969385,0.0014469400506429018,0.45000000000000007,0.45000000000000007,0.88,-0.29244521856307987,-3.444354796409607
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,Call,610.0,-1,0.6498782634735107,608.18,0.0006248150218685258,0.0006248150218685258,0.0011180900391331515,0.38,0.38,0.68,-0.24695374011993407,0.24695374011993407
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,Put,600.0,1,0.6498782634735107,608.18,0.00013154000460390016,8.221250287743761e-5,0.00013154000460390016,0.08,0.05,0.08,0.05199026107788086,-0.05199026107788086
2025-02-21T15:00:00.0,2025-02-21T21:00:00.0,Call,616.0,1,0.6498782634735107,608.18,3.288500115097504e-5,1.644250057548752e-5,3.288500115097504e-5,0.02,0.01,0.02,0.012997565269470214,-0.012997565269470214
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,Put,596.0,-1,0.9998378753662109,599.0,0.002721202003338898,0.002721202003338898,0.0030550918196994995,1.63,1.63,1.8300000000000003,-1.6297357368469239,0.22996271133425128
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,Call,603.0,-1,0.9998378753662109,599.0,0.0017028380634390651,0.0017028380634390651,0.0018363939899833056,1.02,1.02,1.1,-1.0198346328735353,1.0198346328735353
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,Put,589.0,1,0.9998378753662109,599.0,0.0009515859766277127,0.0008180300500834724,0.0009515859766277127,0.57,0.48999999999999994,0.57,0.5699075889587402,-0.5699075889587402
2025-02-24T15:00:00.0,2025-02-25T21:00:00.0,Call,610.0,1,0.9998378753662109,599.0,0.0001335559265442404,0.0001001669449081803,0.0001335559265442404,0.08,0.06,0.08,0.07998703002929688,-0.07998703002929688
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,Put,591.0,-1,0.9999539256095886,594.125,0.0030633284241531667,0.0030633284241531667,0.0038375762676204498,1.8200000000000003,1.8200000000000003,2.28,-1.8199161446094514,1.8199161446094514
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,Call,599.0,-1,0.9999539256095886,594.125,0.002390069429833789,0.002390069429833789,0.002777193351567431,1.42,1.42,1.65,-1.4199345743656158,1.4199345743656158
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,Put,583.0,1,0.9999539256095886,594.125,0.0010098884914790658,0.0007742478434672839,0.0010098884914790658,0.6,0.4600000000000001,0.6,0.5999723553657532,-0.5999723553657532
2025-02-25T15:00:00.0,2025-02-26T21:00:00.0,Call,607.0,1,0.9999539256095886,594.125,0.0002693035977277509,0.00023564064801178205,0.0002693035977277509,0.16,0.14,0.16,0.15999262809753417,-0.15999262809753417
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,Put,593.0,-1,0.9917688965797424,597.52,0.0027948855268442895,0.0027948855268442895,0.002895300575712947,1.67,1.67,1.73,-1.6562540572881699,-6.347320938110402
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,Call,603.0,-1,0.9917688965797424,597.52,0.0017572633552014997,0.0017572633552014997,0.0019413576114607042,1.05,1.05,1.16,-1.0413573414087296,1.0413573414087296
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,Put,585.0,1,0.9917688965797424,597.52,0.0006359619761681618,0.0005857544517338331,0.0006359619761681618,0.38000000000000006,0.35,0.38000000000000006,0.3768721807003022,-0.3074483579396706
2025-02-26T15:00:00.0,2025-02-27T21:00:00.0,Call,611.0,1,0.9917688965797424,597.52,8.36792073905476e-5,6.694336591243808e-5,8.36792073905476e-5,0.05,0.04,0.05,0.04958844482898712,-0.04958844482898712
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,Put,586.0,-1,0.9988033771514893,591.2,0.002520297699594046,0.002520297699594046,0.003298376184032476,1.49,1.49,1.95,-1.488217031955719,1.488217031955719
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,Call,597.0,-1,0.9988033771514893,591.2,0.002486468200270636,0.002486468200270636,0.002976995940460081,1.47,1.47,1.76,-1.4682409644126893,1.4682409644126893
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,Put,578.0,1,0.9988033771514893,591.2,0.0009641407307171853,0.0006935047361299051,0.0009641407307171853,0.57,0.41,0.57,0.5693179249763488,-0.5693179249763488
2025-02-27T15:00:00.0,2025-02-28T21:00:00.0,Call,605.0,1,0.9988033771514893,591.2,0.0003552097428958051,0.0002875507442489851,0.0003552097428958051,0.21,0.17,0.21,0.2097487092018127,-0.2097487092018127
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,Put,583.0,-1,0.9863274693489075,586.59,0.0017388636014933768,0.0017388636014933768,0.0022332463901532586,1.02,1.02,1.31,-1.0060540187358855,1.0060540187358855
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,Call,590.0,-1,0.9863274693489075,586.59,0.0012785761775686594,0.0012785761775686594,0.001636577507287884,0.75,0.75,0.9599999999999999,-0.7397456020116806,-3.1365213525294764
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,Put,576.0,1,0.9863274693489075,586.59,0.00042619205918955315,0.00030685828261647826,0.00042619205918955315,0.25,0.18,0.25,0.24658186733722687,-0.24658186733722687
2025-02-28T15:00:00.0,2025-02-28T21:00:00.0,Call,597.0,1,0.9863274693489075,586.59,0.00010228609420549275,6.819072947032851e-5,0.00010228609420549275,0.05999999999999999,0.04,0.05999999999999999,0.05917964816093445,-0.05917964816093445
2025-03-03T15:00:00.0,2025-03-04T21:00:00.0,Put,588.0,-1,0.9998753666877747,591.93,0.0034463534539557047,0.0034463534539557047,0.004189684591083405,2.04,2.04,2.48,-2.0397457480430603,-8.448946848511705
2025-03-03T15:00:00.0,2025-03-04T21:00:00.0,Call,597.0,-1,0.9998753666877747,591.93,0.0017907522848985525,0.0017907522848985525,0.0028212795431892287,1.06,1.06,1.67,-1.0598678886890411,1.0598678886890411
2025-03-03T15:00:00.0,2025-03-04T21:00:00.0,Put,581.0,1,0.9998753666877747,591.93,0.001621813390096802,0.0011487844846519016,0.001621813390096802,0.96,0.68,0.96,0.9598803520202637,2.5296846777200788
